Rank,Name,StudioSales
1,Michael Jackson,182600000
2,Pink Floyd,169600000
3,The Beatles,160650000
4,Madonna,146450000
5,Led Zeppelin,141500000
6,Céline Dion,136200000
7,AC/DC,132470000
8,U2,127100000
9,Metallica,121260000
10,Mariah Carey,116100000
11,The Rolling Stones,113800000
12,Whitney Houston,113600000
13,Bruce Springsteen,103400000
14,Rod Stewart & Faces,100150000
15,Eminem,98650000
16,Phil Collins,93780000
17,Billy Joel,91400000
18,Barbra Streisand,91370000
19,Queen,90230000
20,Santana,89465000
21,Bon Jovi,89450000
22,Elton John,88630000
23,Prince,86580000
24,Guns N' Roses,86360000
25,Fleetwood Mac,84550000
26,Bob Dylan,83350000
27,Garth Brooks,81605000
28,Van Halen,79620000
29,Genesis,78400000
30,Bee Gees,75525000
31,Eric Clapton,73510000
32,Dire Straits,71730000
33,Aerosmith,71710000
34,David Bowie,71500000
35,Britney Spears,68595000
36,R.E.M.,66685000
37,Stevie Wonder,65605000
38,Enya,65480000
39,Eagles,65425000
40,Neil Young,65210000
41,Adele,63375000
42,Shania Twain,63200000
43,Red Hot Chili Peppers,61870000
44,Paul McCartney,61670000
45,George Michael & Wham!,60200000
46,Coldplay,60160000
47,Backstreet Boys,58900000
48,Green Day,58250000
49,Iron Maiden,56820000
50,Taylor Swift,53755000
51,Elvis Presley,53150000
52,Sting,52360000
53,The Doors,51980000
54,Sade,51560000
55,Janet Jackson,50500000
56,Supertramp,48540000
57,Linkin Park,48350000
58,Meat Loaf,48300000
59,Michael Buble,47800000
60,Alanis Morissette,47065000
61,Robbie Williams,46500000
62,The Police,46370000
63,2Pac,46290000
64,Black Sabbath,46280000
65,Deep Purple,45485000
66,ABBA,45300000
67,Nirvana,45000000
68,Tracy Chapman,43760000
69,Norah Jones,43550000
70,Bob Marley,43075000
71,Bryan Adams,42260000
72,P!nk,41910000
73,Boston,41330000
74,Oasis,41050000
75,Nickelback,40500000
76,Journey,40250000
77,Ozzy Osbourne,39370000
78,NSYNC,37930000
79,Simon & Garfunkel,37820000
80,Cranberries,37650000
81,Beyonce,37140000
82,Spice Girls,37050000
83,Usher,36160000
84,Cher,34825000
85,Shakira,34780000
86,"Crosby, Stills & Nash",34420000
87,Paul Simon,34390000
88,Enrique Iglesias,33900000
89,Rihanna,33480000
90,Black Eyed Peas,33350000
91,Mannheim Steamroller,33305000
92,Creedence Clearwater Revival,33135000
93,Destiny's Child,32990000
94,Alicia Keys,32960000
95,Avril Lavigne,32290000
96,TLC,32195000
97,BTS,31845000
98,John Lennon,31420000
99,Lady Gaga,31215000
100,Christina Aguilera,30400000
101,Jimi Hendrix,29330000
102,Foo Fighters,26750000
103,Johnny Hallyday,26740000
104,Dido,26630000
105,Jackson 5 & The Jacksons,26400000
106,Jennifer Lopez,26120000
107,Maroon 5,26050000
108,No Doubt,25730000
109,One Direction,23900000
110,Justin Timberlake,23490000
111,Amy Winehouse,23180000
112,Ed Sheeran,23160000
113,Miley Cyrus,23050000
114,Xuxa,22626000
115,Evanescence,22440000
116,Ayumi Hamasaki,21810000
117,Kelly Clarkson,21600000
118,Justin Bieber,20725000
119,James Blunt,20440000
120,Kylie Minogue,20320000
121,Take That,19930000
122,BjÃ¶rk,19730000
123,Carrie Underwood,18050000
124,Bruno Mars,17375000
125,Fugees,17310000
126,Katy Perry,15880000
127,Ms. Lauryn Hill,15610000
128,Drake,15525000
129,Gorillaz,14830000
130,Renaud,13230000
131,Cream,13200000
132,Arctic Monkeys,12255000
133,Aaliyah,12200000
134,Gwen Stefani,12060000
135,Lana Del Rey,10255000
136,Imagine Dragons,7960000
137,Kendrick Lamar,7530000
138,The Weeknd,7215000
139,Sam Smith,6525000
140,Fergie,6450000
141,Ariana Grande,6005000
142,Selena Gomez,5780000
143,Blind Faith,5395000
144,Lin-Manuel Miranda,4977000
145,Demi Lovato,4480000
146,Billie Eilish,4250000
147,Little Mix,3670000
148,Lorde,3300000
149,Harry Styles,3245000
150,Macklemore,3225000
