,id,name,release_date,total_tracks,artist_uri
0,4iPei0ERbLxTwUd888Hv5G,Da Funk,1995,3,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
1,4TaKGJaappn4hWMuLdwUEF,Around the World,1997-04-11,4,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
2,4tzfn6ulHYqCdPHkvOWQvZ,Burnin',1997-09-15,4,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
3,2Xjx9rNWxYrLeBHOIwZV9r,Revolution 909,1998-02-16,4,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
4,0bHuuhpKn42ktYbyTIeumE,One More Time,2000-11-13,3,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
5,6a34lYgmrwXe9jChS9ARZd,Aerodynamic,2001-03-28,2,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
6,0HZBRdk8p8mu6n1if6hVmk,Aerodynamic (Slum Village Remix),2001-03-28,1,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
7,3UvcQMj1oRf9D3bPz4P1Zf,Digital Love,2001-06-08,3,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
8,0ZU4cJcFo1s6YEceVABic5,"Harder, Better, Faster, Stronger (The Neptunes Remix)",2001-10-13,1,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
9,1MmZZolm7iTNArajmWJ6gb,"Harder, Better, Faster, Stronger (Alive Radio Edit 2007)",2001-10-13,1,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
10,0A88p2r8PWnWGvWjzAnUrV,"Harder, Better, Faster, Stronger",2001-10-13,4,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
11,6ckiYNnuFHOuATS3qVIsNK,"Harder, Better, Faster, Stronger (Alive 2007)",2001-10-13,2,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
12,3XiVwyHlgGP6XxTdYdDuVI,"Harder, Better, Faster, Stronger (Live)",2001-10-13,2,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
13,1Wg9o58cbpR2xrvV5BKx5X,Phoenix (Basement Jaxx Remix),2003-01-01,1,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
14,2CvZLTWcP7LMVV4GkE67xH,Something About Us (Love Theme from Interstella),2003-11-14,4,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
15,4KmFHj9bLSp2sWeYILTYJz,Human After All (Medley),2005,1,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
16,6nwye4zd7OY5FmMKZRMiDl,Robot Rock (Edit),2005-04-11,1,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
17,5QXkaMax7wx3eI65FUSboS,Technologic (Radio Edit),2005-06-14,1,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
18,2ePFIvZKMe8zefATp9ofFA,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],2013-04-19,1,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
19,4IjfJlYFVmkPH5WQdFuyS8,Get Lucky (Daft Punk Remix) (feat. Pharrell Williams & Nile Rodgers),2013-06-26,1,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
20,3wDNqlA3VDqLKyeTlHKO8P,"Derezzed [(From “TRON: Legacy”) [Avicii ""So Amazing Mix""] [Feat. Negin]]",2014-01-01,1,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
21,08ndNp9WW5wWkIMOJQNX9E,I Gotta Try You Girl (Daft Punk Edit),2021-02-26,1,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
22,5uRdvUR7xCnHmUW8n64n9y,Homework,1997-01-17,16,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
23,6JRaPcrT3cMBEmkgSqEPhI,Homework (25th Anniversary Edition),1997-01-20,31,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
24,2noRn2Aes5aoNVsU6iWThc,Discovery,2001-03-12,14,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
25,3Z7mPCcnwAzU7GtsRYf0HA,Alive 1997,2001-10-01,1,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
26,1O5WUh9KsgHT2QaUCJeVPG,Daft Club,2003-12-01,14,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
27,1A2GTWGtFfWp7KSQTwWOyo,Human After All,2005-03-14,10,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
28,11cpAynoDMZFD0B2xtw6OQ,Human After All (Remixes),2006-03-29,15,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
29,3Bz2QPL8NLBn1d03jXtNkT,Alive 2007,2007-11-19,13,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
30,3AMXFnwHWXCvNr5NCCpLZI,TRON: Legacy - The Complete Edition (Original Motion Picture Soundtrack),2010-12-03,31,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
31,3baT0a6fMPNF9f61ALc9er,TRON: Legacy (Original Soundtrack),2010-12-03,24,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
32,2GC8kfyiyPjyheUUWyEY8F,TRON: Legacy,2010-12-03,22,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
33,18WLrUDK3lvnIjOtzZWOCJ,TRON: Legacy (Original Motion Picture Soundtrack/Japan Release Version),2010-12-03,22,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
34,0Rqk4vFDcrB4x6WiKL4UeY,TRON: Legacy Reconfigured (Australian Version),2011-01-01,15,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
35,382ObEPsp2rxGrnsizN5TX,TRON: Legacy Reconfigured,2011-01-01,15,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
36,3QbWxiYTlTCLjHYgrgMCfU,Daft Punk | Random Access Memories | The Collaborators,2013-05-14,8,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
37,4m2880jivSbbyEGAKfITCa,Random Access Memories,2013-05-17,13,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
