Rank,Artist,Song,Date,Last Week,Peak,Weeks,Image
1,Mariah Carey,All I Want For Christmas Is You,2022-12-24,1,1,26,https://charts-static.billboard.com/img/2004/12/mariah-carey-tgq-180x180.jpg
2,Brenda Lee,Rockin' Around The Christmas Tree,2022-12-24,4,2,19,https://charts-static.billboard.com/img/2005/12/brenda-lee-fbd-rockin-around-the-christmas-tree-k4k-180x180.jpg
3,Wham!,Last Christmas,2022-12-24,2,2,22,https://charts-static.billboard.com/img/1978/05/wham-usx-106x106.jpg
4,Bobby Helms,Jingle Bell Rock,2022-12-24,6,4,19,https://charts-static.billboard.com/img/2006/12/bobby-helms-xys-jingle-bell-rock-f0t-180x180.jpg
5,SZA,Kill Bill,2022-12-24,-,5,1,https://charts-static.billboard.com/img/2014/04/sza-8os-180x180.jpg
6,Sam Smith & Kim Petras,Unholy,2022-12-24,5,1,12,https://charts-static.billboard.com/img/2022/10/sam-smith-jw8-unholy-dry-180x180.jpg
7,"Metro Boomin, The Weeknd & 21 Savage",Creepin',2022-12-24,3,3,2,https://charts-static.billboard.com/img/2013/08/metro-boomin-nxb-180x180.jpg
8,Ariana Grande,Santa Tell Me,2022-12-24,9,5,19,https://charts-static.billboard.com/img/2014/12/ariana-grande-da0-santa-tell-me-9mb-180x180.jpg
9,Andy Williams,It's The Most Wonderful Time Of The Year,2022-12-24,14,7,18,https://charts-static.billboard.com/img/2005/12/andy-williams-lz2-its-the-most-wonderful-time-of-the-year-iho-180x180.jpg
10,Michael Buble,It's Beginning To Look A Lot Like Christmas,2022-12-24,10,6,19,https://charts-static.billboard.com/img/2003/03/michael-buble-auc-180x180.jpg
11,Taylor Swift,Anti-Hero,2022-12-24,7,1,8,https://charts-static.billboard.com/img/2022/11/taylor-swift-824-antihero-5fz-180x180.jpg
12,SZA,Nobody Gets Me,2022-12-24,-,12,1,https://charts-static.billboard.com/img/2014/04/sza-8os-180x180.jpg
13,Jose Feliciano,Feliz Navidad,2022-12-24,17,9,17,https://charts-static.billboard.com/img/1968/07/jose-feliciano-b5h-180x180.jpg
14,Kelly Clarkson,Underneath The Tree,2022-12-24,15,8,18,https://charts-static.billboard.com/img/2002/09/kelly-clarkson-w89-180x180.jpg
15,Burl Ives,A Holly Jolly Christmas,2022-12-24,18,13,17,https://charts-static.billboard.com/img/2004/12/burl-ives-tv0-180x180.jpg
16,Rema & Selena Gomez,Calm Down,2022-12-24,16,5,24,https://charts-static.billboard.com/img/2022/04/rema-000-calmdown-55o-180x180.jpg
17,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,2022-12-24,22,11,17,https://charts-static.billboard.com/img/2005/12/dean-martin-mm0-180x180.jpg
18,David Guetta & Bebe Rexha,I'm Good (Blue),2022-12-24,13,2,16,https://charts-static.billboard.com/img/2022/09/david-guetta-ruw-imgoodblue-rkt-180x180.jpg
19,SZA,Blind,2022-12-24,-,19,1,https://charts-static.billboard.com/img/2014/04/sza-8os-180x180.jpg
20,Harry Styles,As It Was,2022-12-24,11,1,37,https://charts-static.billboard.com/img/2022/04/harry-styles-6jk-asitwas-frn-180x180.jpg
21,Drake & 21 Savage,Rich Flex,2022-12-24,12,1,6,https://charts-static.billboard.com/img/2009/04/drake-04g-180x180.jpg
22,The Ronettes,Sleigh Ride,2022-12-24,28,13,16,https://charts-static.billboard.com/img/2011/12/the-ronettes-k1e-sleigh-ride-1yb-180x180.jpg
23,Meghan Trainor,Made You Look,2022-12-24,20,6,8,https://charts-static.billboard.com/img/2014/07/meghan-trainor-3k0-180x180.jpg
24,SZA,Low,2022-12-24,-,24,1,https://charts-static.billboard.com/img/2014/04/sza-8os-180x180.jpg
25,SZA,Shirt,2022-12-24,108,18,7,https://charts-static.billboard.com/img/2022/11/sza-mhq-shirt-q8c-180x180.jpg
26,SZA,Love Language,2022-12-24,-,26,1,https://charts-static.billboard.com/img/2014/04/sza-8os-180x180.jpg
27,SZA,Seek & Destroy,2022-12-24,-,27,1,https://charts-static.billboard.com/img/2014/04/sza-8os-180x180.jpg
28,RAYE Featuring 070 Shake,Escapism,2022-12-24,36,28,3,https://charts-static.billboard.com/img/2015/09/raye-pn7-180x180.jpg
29,"Metro Boomin, Future & Chris Brown",Superhero (Heroes & Villains),2022-12-24,8,8,2,https://charts-static.billboard.com/img/2013/08/metro-boomin-nxb-180x180.jpg
30,Manuel Turizo,La Bachata,2022-12-24,24,6,23,https://charts-static.billboard.com/img/2022/06/manuel-turizo-eml-la-bachata-1l6-180x180.jpg
31,Sia,Snowman,2022-12-24,39,25,21,https://charts-static.billboard.com/img/2006/01/sia-0sp-180x180.jpg
32,Arcangel & Bad Bunny,La Jumpa,2022-12-24,19,19,2,https://charts-static.billboard.com/img/2022/12/arcangel-pqf-lajumpa-vaz-180x180.jpg
33,Nat King Cole,The Christmas Song (Merry Christmas To You),2022-12-24,40,16,16,https://charts-static.billboard.com/img/2008/12/nat-king-cole-wkp-180x180.jpg
34,SZA Featuring Don Toliver,Used,2022-12-24,-,34,1,https://charts-static.billboard.com/img/2014/04/sza-8os-180x180.jpg
35,Chris Brown,Under The Influence,2022-12-24,25,3,21,https://charts-static.billboard.com/img/2019/10/chris-brown-94g-undertheinfluence-eql-180x180.jpg
36,SZA,Snooze,2022-12-24,-,36,1,https://charts-static.billboard.com/img/2014/04/sza-8os-180x180.jpg
37,SZA,SOS,2022-12-24,-,37,1,https://charts-static.billboard.com/img/2014/04/sza-8os-180x180.jpg
38,Bing Crosby,White Christmas,2022-12-24,43,24,16,https://charts-static.billboard.com/img/2006/12/bing-crosby-q6i-180x180.jpg
39,Tom Odell,Another Love,2022-12-24,31,14,85,https://charts-static.billboard.com/img/2013/01/tom-odell-qwt-180x180.jpg
40,Bad Bunny & Chencho Corleone,Me Porto Bonito,2022-12-24,26,2,32,https://charts-static.billboard.com/img/2016/10/bad-bunny-c3m-180x180.jpg
41,Bad Bunny,Titi Me Pregunto,2022-12-24,27,4,32,https://charts-static.billboard.com/img/2016/10/bad-bunny-c3m-180x180.jpg
42,Darlene Love,Christmas (Baby Please Come Home),2022-12-24,48,27,16,https://charts-static.billboard.com/img/2012/12/darlene-love-pok-180x180.jpg
43,Justin Bieber,Mistletoe,2022-12-24,45,19,17,https://charts-static.billboard.com/img/2009/07/justin-bieber-f8k-180x180.jpg
44,Oliver Tree & Robin Schulz,Miss You,2022-12-24,32,11,10,https://charts-static.billboard.com/img/2022/10/oliver-tree-8zt-missyou-xhc-180x180.jpg
45,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,It's Beginning To Look Like Christmas,2022-12-24,41,27,15,https://charts-static.billboard.com/img/1958/08/perry-como-v1s-180x180.jpg
46,Band Aid,Do They Know It's Christmas?,2022-12-24,51,20,15,https://charts-static.billboard.com/img/2013/12/band-aid-000-do-they-know-its-christmas-oj7-180x180.jpg
47,OneRepublic,I Ain't Worried,2022-12-24,34,5,28,https://charts-static.billboard.com/img/2022/06/onerepublic-m2z-i-aint-worried-6ds-180x180.jpg
48,Bizarrap & Quevedo,"Bzrp Music Sessions, Vol. 52",2022-12-24,33,1,23,https://charts-static.billboard.com/img/2022/07/bizarrap-rsm-bzrp-music-sessions-vol-52-6r7-180x180.jpg
49,SZA,Special,2022-12-24,-,49,1,https://charts-static.billboard.com/img/2014/04/sza-8os-180x180.jpg
50,Stephen Sanchez,Until I Found You,2022-12-24,53,44,31,https://charts-static.billboard.com/img/2022/05/stephensanchez-s9k-untilifoundyou-n64-180x180.jpg
51,Paul McCartney,Wonderful Christmastime,2022-12-24,57,18,16,https://charts-static.billboard.com/img/1970/05/paul-mccartney-grq-180x180.jpg
52,SZA Featuring Phoebe Bridgers,Ghost In The Machine,2022-12-24,-,52,1,https://charts-static.billboard.com/img/2014/04/sza-8os-180x180.jpg
53,Michael Buble,Holly Jolly Christmas,2022-12-24,61,29,14,https://charts-static.billboard.com/img/2003/03/michael-buble-auc-180x180.jpg
54,Lady Gaga,Bloody Mary,2022-12-24,54,54,2,https://charts-static.billboard.com/img/2008/04/lady-gaga-b8x-180x180.jpg
55,Steve Lacy,Bad Habit,2022-12-24,38,8,23,https://charts-static.billboard.com/img/2022/07/steve-lacy-d2o-badhabit-9nj-180x180.jpg
56,Ed Sheeran & Elton John,Merry Christmas,2022-12-24,60,15,7,https://charts-static.billboard.com/img/2021/12/ed-sheeran-w3r-merry-christmas-kfq-180x180.jpg
57,Nat King Cole,Deck The Halls,2022-12-24,78,57,12,https://charts-static.billboard.com/img/1958/08/nat-king-cole-wkp-180x180.jpg
58,Frank Sinatra,Jingle Bells,2022-12-24,66,42,14,https://charts-static.billboard.com/img/2010/12/frank-sinatra-ytu-180x180.jpg
59,John & Yoko/The Plastic Ono Band With The Harlem Community Choir,Happy Xmas (War Is Over),2022-12-24,67,26,13,https://charts-static.billboard.com/img/1969/02/john-lennon-0fr-180x180.jpg
